Badness,Front Planet S1 Diameter (in),Front Planet S2 Diameter (in),Front Sun Diameter (in),Front Ring Diameter (in),Front Planet S1 Teeth,Front Planet S2 Teeth,Front Sun Teeth,Front Ring Teeth,Rear Planet S1 Diameter (in),Rear Planet S2 Diameter (in),Rear Sun Diameter (in),Rear Ring Diameter (in),Rear Planet S1 Teeth,Rear Planet S2 Teeth,Rear Sun Teeth,Rear Ring Teeth,Diametral Pitch (1/in),Front GR,Rear GR
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
0.0011545,1.4286,1.0357,0.85714,3.3214,40,29,24,93,1.6071,0.85714,0.85714,3.3214,45,24,24,93,28,6.3448,8.2656
